"","Group","Subj","Numerosity","RT"
"276","G","s_31",6,1680.65430603371
"277","G","s_31",7,2426.39354782527
"278","G","s_31",8,2554.25338434933
"279","G","s_31",9,2996.06778409925
"280","G","s_32",1,561.913976666083
"281","G","s_32",2,584.692415635561
"282","G","s_32",3,658.942905714531
"283","G","s_32",4,814.338665608011
"284","G","s_32",5,1016.01981224131
"285","G","s_32",6,1410.95075878376
"286","G","s_32",7,1811.94444457409
"287","G","s_32",8,2052.81240267767
"288","G","s_32",9,2512.71469353528
"289","G","s_33",1,584.733833929883
"290","G","s_33",2,587.69332167386
"291","G","s_33",3,654.607104597338
"292","G","s_33",4,730.02995800923
"293","G","s_33",5,894.576465009897
"294","G","s_33",6,1172.65206901177
"295","G","s_33",7,1512.25792192144
"296","G","s_33",8,1897.46868088059
"297","G","s_33",9,2182.49956573279
"298","G","s_34",1,741.883274443209
"299","G","s_34",2,779.420049234659
"300","G","s_34",3,904.511731018206
"301","G","s_34",4,983.684604106776
"302","G","s_34",5,1400.73628028949
"303","G","s_34",6,1718.40012264582
"304","G","s_34",7,2311.59106922127
"305","G","s_34",8,2460.08774504954
"306","G","s_34",9,2688.32343283194
"307","G","s_35",1,468.203571272816
"308","G","s_35",2,507.8074820776
"309","G","s_35",3,644.210558725095
"310","G","s_35",4,801.017255863978
"311","G","s_35",5,1161.46342593619
"312","G","s_35",6,1476.93678299263
"313","G","s_35",7,2079.14737329226
"314","G","s_35",8,2331.27355814804
"315","G","s_35",9,2653.99064425579
"316","G","s_36",1,669.780419130575
"317","G","s_36",2,720.294117697581
"318","G","s_36",3,771.986157000763
"319","G","s_36",4,899.791784402731
"320","G","s_36",5,1172.47054068366
"321","G","s_36",6,1222.68162528232
"322","G","s_36",7,1574.50560918624
"323","G","s_36",8,1920.6125621209
"324","G","s_36",9,2125.54124012115
"325","G","s_37",1,464.437555294688
"326","G","s_37",2,482.274911617711
"327","G","s_37",3,552.641412366747
"328","G","s_37",4,709.071890447472
"329","G","s_37",5,846.712508652003
"330","G","s_37",6,868.168808850418
"331","G","s_37",7,1083.28257507472
"332","G","s_37",8,1301.83156994254
"333","G","s_37",9,1545.05189393746
"334","G","s_38",1,502.945001842309
"335","G","s_38",2,526.930248462503
"336","G","s_38",3,554.997520552809
"337","G","s_38",4,631.144375666821
"338","G","s_38",5,772.837154667602
"339","G","s_38",6,1109.052809711
"340","G","s_38",7,1295.96327535694
"341","G","s_38",8,1459.90245191635
"342","G","s_38",9,1687.4019997183
"343","G","s_39",1,496.987366165142
"344","G","s_39",2,509.268476313465
"345","G","s_39",3,617.979796873753
"346","G","s_39",4,757.867920336283
"347","G","s_39",5,1084.81121408231
"348","G","s_39",6,1398.70950696468
"349","G","s_39",7,1632.93495058823
"350","G","s_39",8,2036.81001588045
"351","G","s_39",9,2369.21204216127
"352","G","s_40",1,479.695192182555
"353","G","s_40",2,488.467588918447
"354","G","s_40",3,584.334952251222
"355","G","s_40",4,958.530196203175
"356","G","s_40",5,986.144887160113
"357","G","s_40",6,1267.33772914188
"358","G","s_40",7,1498.01228631807
"359","G","s_40",8,1607.85620846127
"360","G","s_40",9,2182.8496204909
